         87183965 function calls (73275312 primitive calls) in 11.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 frozen _structseq:66(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:1824(parse_args)
        2    0.000    0.000    0.000    0.000 {method 'acquire_lock' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:613(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {built-in function _thread.get_native_id}
        4    0.000    0.000    0.000    0.000 {built-in function ord}
        4    0.000    0.000    0.000    0.000 sre_parse.py:163(__delitem__)
        1    0.000    0.000    0.000    0.000 {method 'difference_update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:863(BooleanOptionalAction)
        2    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:175(_path_isabs)
        1    0.000    0.000    0.000    0.000 threading.py:351(notify)
        1    0.000    0.000    0.000    0.000 functools.py:483(lru_cache)
        3    0.000    0.000    0.000    0.000 argparse.py:2513(_check_value)
        1    0.000    0.000    0.000    0.000 threading.py:1282(Timer)
        1    0.000    0.000    0.000    0.000 threading.py:393(Semaphore)
        3    0.000    0.000    0.000    0.000 blackjack.py:87(all_suits)
        1    0.000    0.000    0.000    0.000 argparse.py:1084(_HelpAction)
        1    0.000    0.000    0.000    0.000 threading.py:947(_set_native_id)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
